district,population_thousands,area-km2,density
Barguna,928,1939,0.478597215059309
Barishal,2415,2791,0.865281261196704
Bhola,1946,3403.48,0.571767720098252
Jhalokati,710,735.09,0.965868124991498
Patuakhali,1596,3220.15,0.495629085601602
Pirojpur,1277,1277.8,0.999373923931758
Bandarban,405,4479,0.090421969189551
Brahmanbaria,2954,1927,1.53295277633627
Chandpur,2514,1704,1.47535211267606
Chattogram,7913,5283,1.49782320651145
Cumilla,6003,3085,1.94586709886548
Cox's Bazar,2382,2492,0.95585874799358
Feni,1496,928,1.61206896551724
Khagrachhari,639,2700,0.236666666666667
Lakshmipur,1798,1456,1.23489010989011
Noakhali,3232,2202,1.4677565849228
Rangamati,620,6116.13,0.101371291977116
Dhaka,12518,1464,8.55054644808743
Faridpur,1989,2073,0.959479015918958
Gazipur,3548,1800,1.97111111111111
Gopalganj,1218,1490,0.81744966442953
Kishoreganj,3029,2689,1.1264410561547
Madaripur,1212,1145,1.05851528384279
Manikganj,1447,1379,1.04931109499637
Munshiganj,1503,955,1.5738219895288
Narayanganj,3074,683.04,4.50046849379246
Narsingdi,2315,1141,2.02892199824715
Rajbari,1091,1119,0.974977658623771
Shariatpur,1202,1182,1.01692047377327
Tangail,3750,3414,1.09841827768014
Bagerhat,1461,3959,0.369032583985855
Chuadanga,1123,1177,0.954120645709431
Jashore,2742,2567,1.06817296455006
Jhenaidah,1756,1961,0.895461499235084
Khulna,2294,4394,0.522075557578516
Kushtia,1933,1601,1.20737039350406
Magura,913,1049,0.870352716873212
Meherpur,652,716.08,0.91051279186683
Narail,715,990,0.722222222222222
Satkhira,1973,3858,0.511404872991187
Jamalpur,2265,2032,1.11466535433071
Mymensingh,5042,4363,1.15562686225074
Netrokona,2207,2810,0.785409252669039
Sherpur,1334,1364,0.978005865102639
Bogura,3370,2919,1.15450496745461
Joypurhat,909,965.44,0.941539608882996
Naogaon,2576,3435.67,0.749780974307777
Natore,1696,1896.05,0.894491179030089
Chapainawabganj,1647,1702.56,0.967366788835636
Pabna,2497,2372,1.0526981450253
Rajshahi,2573,2407.01,1.06896107618996
Sirajganj,3072,2497.92,1.22982321291314
Dinajpur,2980,3438,0.866783013379872
Gaibandha,2349,2179,1.07801743919229
Kurigram,2050,2296,0.892857142857143
Lalmonirhat,1249,1241,1.00644641418211
Nilphamari,1820,1580,1.15189873417722
Panchagarh,981,1405,0.698220640569395
Rangpur,2866,2368,1.21030405405405
Thakurgaon,1380,1810,0.762430939226519
Habiganj,2059,2637,0.780811528251801
Moulvibazar,1902,2799,0.679528403001072
Sunamganj,2443,3670,0.66566757493188
Sylhet,5316,3452,1.53997682502897
